Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Gerres,filamentosus,Gerreidae,Gerres filamentosus,0.020219,3.118027,1,35,total length,3.2,21.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Urobatis,jamaicensis,Urotrygonidae,Urobatis jamaicensis,0.00723,3.129,1,76,total length,3.55,32.21,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Pellona,harroweri,Pristigasteridae,Pellona harroweri,0.01111,2.914447,1,18,total length,4.2,15.39,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Meuschenia,hippocrepis,Monocanthidae,Meuschenia hippocrepis,0.02188,2.91,1,51,total length,2.8,50.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Halichoeres,bivittatus,Labridae,Halichoeres bivittatus,0.010516,3.092435,1,35,total length,3.82,36.66,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Parupeneus,jansenii,Mullidae,Parupeneus jansenii,0.01202,3.09,1,25,total length,3.4,25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Lobotes,surinamensis,Lobotidae,Lobotes surinamensis,0.0428,2.59,1,110,total length,4.16,34.52,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Siphamia,tubifer,Apogonidae,Siphamia tubifer,0.01549,3.07,1,7,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Cephalopholis,cruentata,Serranidae,Cephalopholis cruentata,0.011331,3.108616,1,42.6,total length,4.16,33.39,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Channomuraena,vittata,Muraenidae,Channomuraena vittata,0.00112,3.06,1,150,total length,4,67.67,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Urogymnus,granulatus,Dasyatidae,Urogymnus granulatus,0.00776,3.02,1,141,wing diameter,4.1,86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Eupetrichthys,angustipes,Labridae,Eupetrichthys angustipes,0.01,3.04,1,12.4,standard length,3.4,26.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Anchoa,lyolepis,Engraulidae,Anchoa lyolepis,0.0055,3.04,1,12,total length,3.4,14,Tropical Atlantic,,planktivore,planktivore,large group
Canthigaster,amboinensis,Tetraodontidae,Canthigaster amboinensis,0.02818,2.094,1,15,total length,2.74,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Myripristis,vittata,Holocentridae,Myripristis vittata,0.0182,3.05,1,25,total length,3.8,18.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Centropyge,interrupta,Pomacanthidae,Centropyge interrupta,0.0302,2.89,1,15,total length,2.53,23.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Antennarius,pictus,Antennariidae,Antennarius pictus,0.01995,3.01,1,30,total length,4.4,16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Latropiscis,purpurissatus,Aulopidae,Latropiscis purpurissatus,0.00437,3.13,1,60,total length,4.01,34.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Macropharyngodon,moyeri,Labridae,Macropharyngodon moyeri,0.01,3.06,1,12,total length,3.5,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Lepidonectes,corallicola,Tripterygiidae,Lepidonectes corallicola,0.0055,3.08,1,8.9,standard length,2.6,16.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Diagramma,labiosum,Haemulidae,Diagramma labiosum,0.0195,2.96,1,90,total length,3.7,59.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Pleurosicya,micheli,Gobiidae,Pleurosicya micheli,0.00617,3.08,1,2.5,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Choerodon,zosterophorus,Labridae,Choerodon zosterophorus,0.01259,3.05,1,25,total length,3.4,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Hemitaurichthys,polylepis,Chaetodontidae,Hemitaurichthys polylepis,0.02188,3.02,1,18,total length,3.4,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Haemulon,striatum,Haemulidae,Haemulon striatum,0.0175,3.099,1,28,total length,3.4,30.37,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Synodus,lacertinus,Synodontidae,Synodus lacertinus,0.00407,3.19,1,20,total length,4.2,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Sargocentron,melanospilos,Holocentridae,Sargocentron melanospilos,0.0166,2.97,1,25,total length,3.99,18.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Naso,vlamingii,Acanthuridae,Naso vlamingii,0.03104,2.843,1,60,total length,2.16,37.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Heniochus,singularius,Chaetodontidae,Heniochus singularius,0.02188,3.02,1,30,total length,3.55,23.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chrysiptera,hemicyanea,Pomacentridae,Chrysiptera hemicyanea,0.01479,2.98,1,7,total length,2.43,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Mycteroperca,prionura,Serranidae,Mycteroperca prionura,0.0061,3.2,1,105,total length,4.4,64.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Acanthurus,dussumieri,Acanthuridae,Acanthurus dussumieri,0.037995,2.83451,1,54,total length,2,36.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Epinephelus,howlandi,Serranidae,Epinephelus howlandi,0.01511,3.019114,1,55,total length,4.02,46.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Anchoviella,lepidentostole,Engraulidae,Anchoviella lepidentostole,0.004529,3.2284,1,11.6,standard length,3.1,13.79,Tropical Atlantic,,planktivore,planktivore,large group
Alepes,djedaba,Carangidae,Alepes djedaba,0.030103,2.955244,1,40,total length,3.32,24.73,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Cephalopholis,aitha,Serranidae,Cephalopholis aitha,0.01259,3.05,1,40,total length,4.2,36.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pomacentrus,xanthosternus,Pomacentridae,Pomacentrus xanthosternus,0.01479,2.99,1,10,,2.7,,"Central Indo-Pacific,Western Indo-Pacific",,,,
Chaetodon,pelewensis,Chaetodontidae,Chaetodon pelewensis,0.026346,3.094727,1,12.5,total length,2.92,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Parasphyraenops,atrimanus,Serranidae,Parasphyraenops atrimanus,0.01,3.04,1,8.4,standard length,3.4,14.21,Tropical Atlantic,,planktivore,planktivore,solitary
Pempheris,schomburgkii,Pempheridae,Pempheris schomburgkii,0.0439,2.62,0.95,15,total length,3.11,22.52,Tropical Atlantic,,planktivore,planktivore,large group
Harengula,humeralis,Clupeidae,Harengula humeralis,0.008922,3.070474,1,22,total length,3.43,14.26,Tropical Atlantic,,planktivore,planktivore,large group
Meiacanthus,tongaensis,Blenniidae,Meiacanthus tongaensis,0.00537,3.05,1,10,standard length,3.5,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Apogon,robinsi,Apogonidae,Apogon robinsi,0.01047,3.1,1,10.1,standard length,3.6,13,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Chromis,xanthura,Pomacentridae,Chromis xanthura,0.0166,2.95,1,17,total length,3.4,28.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Siganus,unimaculatus,Siganidae,Siganus unimaculatus,0.01585,3.07,1,20,standard length,2.68,15.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Ctenogobius,boleosoma,Gobiidae,Ctenogobius boleosoma,0.006841,3.036794,1,7.5,total length,3.25,18.23,Tropical Atlantic,,invertivore-mobile,micro-invertivore,small group
Pseudanthias,squamipinnis,Serranidae,Pseudanthias squamipinnis,0.00933,2.97,1,15,total length,3.4,22.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Photopectoralis,bindus,Leiognathidae,Photopectoralis bindus,0.040535,2.688369,1,11,total length,2.65,15.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Cirrhilabrus,aurantidorsalis,Labridae,Cirrhilabrus aurantidorsalis,0.0166,2.95,1,10,total length,3.4,18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Eucinostomus,harengulus,Gerreidae,Eucinostomus harengulus,0.01175,3.1,1,15,,3.26,17.75,Tropical Atlantic,,omnivore,macro-invertivore,medium group
Latridopsis,forsteri,Latridae,Latridopsis forsteri,0.01202,3.04,1,65,total length,3.6,47.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Coryphopterus,personatus,Gobiidae,Coryphopterus personatus,0.00871,3.09,1,4,total length,2.68,10,Tropical Atlantic,,herbivore-detritivore,detritivore,small group
Thalassoma,duperrey,Labridae,Thalassoma duperrey,0.00851,3,1,28,total length,3.84,19.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Thyrsites,atun,Gempylidae,Thyrsites atun,0.00374,3,1,200,standard length,4.19,62.58,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Balistoides,conspicillum,Balistidae,Balistoides conspicillum,0.0257,2.94,1,50,total length,3.31,39.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Chaetodon,citrinellus,Chaetodontidae,Chaetodon citrinellus,0.037678,2.815819,1,13,total length,2.98,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Atypichthys,strigatus,Kyphosidae,Atypichthys strigatus,0.02291,2.99,1,25,total length,3.4,28.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chaetodontoplus,chrysocephalus,Pomacanthidae,Chaetodontoplus chrysocephalus,0.0302,2.89,1,22,total length,2.67,28.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,solitary
Epinephelus,daemelii,Serranidae,Epinephelus daemelii,0.01148,3.04,1,200,total length,3.99,84.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Semicossyphus,darwini,Labridae,Semicossyphus darwini,0.0134,2.971,1,70,total length,4.17,58.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Pseudocheilinops,ataenia,Labridae,Pseudocheilinops ataenia,0.0166,2.95,1,6.5,total length,3.4,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Sarda,sarda,Scombridae,Sarda sarda,0.00535,3.326246,1,91.4,fork length,4.34,32.68,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Hypoplectrodes,maccullochi,Serranidae,Hypoplectrodes maccullochi,0.00933,2.97,1,45,total length,3.55,42.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Pomacentrus,aquilus,Pomacentridae,Pomacentrus aquilus,0.01479,2.98,1,12,total length,2.73,23.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Plectropomus,maculatus,Serranidae,Plectropomus maculatus,0.00647,3.22,1,125,total length,4.11,51.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Oxymonacanthus,halli,Monocanthidae,Oxymonacanthus halli,0.01047,3.05,1,7,total length,3.6,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Rhinoptera,bonasus,Myliobatidae,Rhinoptera bonasus,0.0076,3.15,1,213.3,wing diameter,3.49,45.13,Tropical Atlantic,,invertivore-mobile,macro-invertivore,large group
Abudefduf,saxatilis,Pomacentridae,Abudefduf saxatilis,0.023283,2.877253,1,22.9,total length,2.76,32.28,Tropical Atlantic,,omnivore,planktivore,large group
Opsanus,phobetron,Batrachoididae,Opsanus phobetron,0.0527,2.6894,1,21.5,total length,3.6,27.48,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Meiacanthus,lineatus,Blenniidae,Meiacanthus lineatus,0.00537,3.05,1,9.5,total length,3.4,20.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Oplegnathus,punctatus,Oplegnathidae,Oplegnathus punctatus,0.01995,3.01,1,86,total length,3.55,37.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Upeneus,supravittatus,Mullidae,Upeneus supravittatus,0.00933,3.09,1,14,standard length,3.5,19.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Leptojulis,cyanopleura,Labridae,Leptojulis cyanopleura,0.00977,3.05,1,13,total length,3.4,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Sphyraena,acutipinnis,Sphyraenidae,Sphyraena acutipinnis,0.00708,2.93,1,80,total length,4.5,46.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Gobioclinus,bucciferus,Labrisomidae,Gobioclinus bucciferus,0.0049,3.08,1,9,total length,3.8,10,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Elops,affinis,Elopidae,Elops affinis,0.01,3.02,1,91,total length,4.05,48.2,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Acanthaluteres,brownii,Monocanthidae,Acanthaluteres brownii,0.02188,2.91,1,55,total length,2.8,52.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Scarus,hypselopterus,Scaridae,Scarus hypselopterus,0.00794,3.11,1,31,total length,2,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Sphyraena,helleri,Sphyraenidae,Sphyraena helleri,0.00708,2.93,1,80,total length,4.5,49.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Stegostoma,fasciatum,Stegostomatidae,Stegostoma fasciatum,0.00389,3.12,1,354,total length,3.1,77.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Anampses,cuvier,Labridae,Anampses cuvier,0.01995,3.01,1,31,total length,3.27,34.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Halichoeres,erdmanni,Labridae,Halichoeres erdmanni,0.01,3.08,1,7.2,standard length,3.3,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Plagiotremus,tapeinosoma,Blenniidae,Plagiotremus tapeinosoma,0.00523,2.90832,1,14,total length,3.84,25.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Brevoortia,gunteri,Clupeidae,Brevoortia gunteri,0.00759,3.01,1,30,standard length,2.43,33.8,Tropical Atlantic,,planktivore,planktivore,large group
Genicanthus,melanospilos,Pomacanthidae,Genicanthus melanospilos,0.0302,2.89,1,18,total length,3.4,24.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Floridichthys,carpio,Cyprinodontidae,Floridichthys carpio,0.01072,3.22,1,8,total length,3.51,32.4,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Acanthurus,japonicus,Acanthuridae,Acanthurus japonicus,0.02291,2.96,1,21,total length,2.18,21.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Trimma,flavicaudatum,Gobiidae,Trimma flavicaudatum,0.00891,3.07,1,2.4,standard length,,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,,
Paracheilinus,hemitaeniatus,Labridae,Paracheilinus hemitaeniatus,0.00977,3.05,1,,,3.4,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Caesio,striata,Caesioinidae,Caesio striata,0.01259,3.09,1,25,total length,3.4,20.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Pseudochromis,dixurus,Pseudochromidae,Pseudochromis dixurus,0.01175,3.01,1,9,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Choerodon,melanostigma,Labridae,Choerodon melanostigma,0.01,3.04,1,,,3.5,52.71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Malacoctenus,zonifer,Labrisomidae,Malacoctenus zonifer,0.00955,3.04,1,8,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Cantherhines,pardalis,Monocanthidae,Cantherhines pardalis,0.017,3.07,1,25,total length,3.5,30.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pseudojuloides,severnsi,Labridae,Pseudojuloides severnsi,0.01,3.06,1,9.2,standard length,3.3,20,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Eucrossorhinus,dasypogon,Orectolobidae,Eucrossorhinus dasypogon,0.00389,3.12,1,366,total length,3.98,86.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chelmon,marginalis,Chaetodontidae,Chelmon marginalis,0.02188,3.02,1,18,total length,3.5,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Cheilodipterus,isostigmus,Apogonidae,Cheilodipterus isostigmus,0.00646,3.19,1,11,total length,4.2,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Lutjanus,griseus,Lutjanidae,Lutjanus griseus,0.010346,3.061125,1,89,total length,4.23,39.82,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Cheilodactylus,francisi,Cheilodactylidae,Cheilodactylus francisi,0.0123,3.02,1,27.37,standard length,3.2,41.99,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Crossosalarias,macrospilus,Blenniidae,Crossosalarias macrospilus,0.00741,3,1,10,total length,2,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,solitary
